FlightGroup,Dept_Day,Taken_Day,Days_To_Dept,Duration,Available,Hopping,Total_Fare
19,3,4,47,400,9.0,0,6097.0
8,0,4,80,180,42.0,0,3925.0
8,3,1,22,245,18.0,0,4696.0
12,0,0,14,175,7.0,0,4530.0
9,1,3,11,285,10.0,0,6944.0
19,1,5,5,175,9.0,0,8041.0
16,6,4,50,170,9.0,0,5469.0
21,1,3,11,175,9.0,0,7293.0
22,6,0,33,160,9.0,0,5403.0
7,5,3,26,170,22.0,0,3925.0
21,2,5,45,175,9.0,0,7398.0
6,0,5,44,260,10.0,0,6604.0
6,0,5,58,170,2.0,0,6887.0
3,0,3,22,165,9.0,0,7381.0
8,6,3,76,175,62.0,0,3925.0
5,1,3,81,160,15.0,0,4220.0
7,3,0,44,175,4.0,0,5554.0
6,6,1,46,170,10.0,0,8041.0
9,0,3,15,165,7.0,0,3925.0
6,6,1,46,170,2.0,0,8671.0
12,5,4,91,175,7.0,0,6126.0
9,5,5,83,280,20.0,0,4011.0
10,3,4,75,180,7.0,0,5160.0
8,5,0,25,175,9.0,0,4944.0
7,1,3,25,170,76.0,0,4377.0
10,3,1,36,180,7.0,0,8121.0
7,2,1,56,170,10.0,0,4644.0
22,0,1,13,165,9.0,0,7293.0
6,6,1,88,170,7.0,0,4644.0
9,0,4,10,165,2.0,0,4644.0
12,3,4,26,175,7.0,0,6126.0
9,4,0,34,165,10.0,0,9302.0
19,2,5,66,175,9.0,0,3579.0
16,4,0,48,170,9.0,0,5469.0
12,3,0,72,175,7.0,0,5160.0
21,0,3,15,175,6.0,0,5613.0
22,3,5,32,160,9.0,0,6348.0
22,5,1,52,160,9.0,0,7398.0
4,4,0,76,165,59.0,0,3583.0
7,4,0,27,170,1.0,0,3417.0
9,4,5,57,280,26.0,0,4011.0
10,5,5,27,180,7.0,0,4530.0
6,0,5,86,285,33.0,0,4011.0
11,5,1,31,155,7.0,0,8121.0
20,1,3,32,170,9.0,0,5575.0
12,3,5,53,175,7.0,0,6126.0
22,3,3,87,165,9.0,0,5508.0
6,3,5,88,175,11.0,0,4644.0
18,1,3,74,170,9.0,0,4945.0
8,5,5,62,175,9.0,0,5554.0
22,4,3,42,165,9.0,0,7398.0
19,3,1,15,400,9.0,0,4983.0
0,6,5,49,170,4.0,0,8483.0
9,5,5,76,280,20.0,0,4011.0
1,3,5,74,165,9.0,0,4651.0
12,0,4,31,175,7.0,0,8121.0
9,2,4,25,295,4.0,0,7087.0
14,0,3,36,170,9.0,0,9039.0
6,1,0,52,275,26.0,0,5359.0
19,5,1,17,400,9.0,0,5297.0
12,0,5,44,175,7.0,0,9591.0
22,6,4,36,160,9.0,0,5403.0
9,0,5,86,170,43.0,0,3579.0
9,3,3,80,170,48.0,0,3579.0
6,2,1,21,170,11.0,0,4644.0
7,0,5,37,170,10.0,0,9302.0
1,3,5,11,165,5.0,0,8851.0
7,4,4,72,170,112.0,0,4377.0
7,0,5,30,175,20.0,0,6361.0
17,6,5,35,485,9.0,0,4417.0
6,3,3,87,260,1.0,0,4732.0
19,5,0,4,400,9.0,0,9353.0
13,2,0,57,165,7.0,0,5160.0
6,2,1,28,260,3.0,0,8443.0
4,0,5,65,165,27.0,0,5180.0
7,4,0,13,170,1.0,0,3579.0
7,2,1,7,175,1.0,0,6361.0
22,6,3,34,160,9.0,0,6348.0
6,2,3,16,275,6.0,0,5330.0
8,5,3,19,175,13.0,0,4318.0
8,0,5,51,175,9.0,0,5554.0
22,0,4,10,160,8.0,0,6768.0
10,0,5,65,180,7.0,0,6651.0
3,1,1,65,165,9.0,0,4021.0
12,1,1,9,165,7.0,0,7281.0
2,1,5,82,165,3.0,0,3548.0
12,0,1,48,175,1.0,0,5160.0
12,5,0,67,175,7.0,0,3270.0
1,2,4,11,165,6.0,0,8011.0
0,5,4,84,170,2.0,0,3548.0
13,4,3,63,165,7.0,0,3270.0
2,6,4,29,165,4.0,0,4756.0
9,4,5,71,280,3.0,0,4376.0
5,5,0,39,160,20.0,0,4594.0
8,4,1,82,245,20.0,0,4696.0
22,2,3,23,160,9.0,0,5613.0
6,5,4,35,285,2.0,0,4697.0
8,2,1,70,170,48.0,0,4644.0
6,1,0,59,260,2.0,0,5136.0
12,4,3,63,175,7.0,0,5160.0
21,5,5,27,160,9.0,0,4668.0
6,0,0,35,175,9.0,0,9928.0
6,2,1,42,275,3.0,0,4691.0
19,2,3,86,175,9.0,0,3579.0
12,4,4,44,175,7.0,0,4530.0
22,1,5,75,160,9.0,0,5508.0
6,3,5,88,275,8.0,0,5329.0
6,0,1,20,260,2.0,0,5203.0
11,4,5,57,155,7.0,0,5160.0
5,3,5,25,160,68.0,0,4594.0
6,1,1,72,260,17.0,0,5073.0
11,4,4,2,155,7.0,0,11444.0
13,6,4,57,165,7.0,0,5160.0
6,6,1,74,275,4.0,0,5456.0
0,0,3,50,165,7.0,0,7591.0
7,6,3,27,175,6.0,0,4377.0
15,6,4,22,175,9.0,0,3527.0
6,4,5,8,275,13.0,0,7779.0
18,3,5,60,170,9.0,0,3579.0
7,4,3,21,175,30.0,0,3925.0
8,0,1,83,175,34.0,0,3925.0
8,2,5,38,295,1.0,0,9408.0
6,5,4,28,275,30.0,0,5791.0
7,4,3,7,170,6.0,0,6991.0
2,4,4,37,165,4.0,0,8221.0
22,4,1,33,165,3.0,0,7398.0
6,0,3,50,275,46.0,0,5795.0
16,3,3,45,170,9.0,0,3873.0
6,4,0,48,175,5.0,0,8041.0
7,2,0,15,170,3.0,0,3925.0
9,1,5,54,285,1.0,0,4679.0
19,4,4,65,175,9.0,0,3579.0
15,5,5,90,175,9.0,0,3211.0
0,3,5,18,170,5.0,0,7381.0
6,4,5,15,260,4.0,0,5203.0
19,1,5,75,175,9.0,0,3925.0
17,3,5,39,485,9.0,0,5677.0
6,1,4,27,170,2.0,0,4644.0
12,5,5,20,175,5.0,0,3900.0
12,1,1,58,175,7.0,0,5160.0
9,0,5,86,285,5.0,0,3788.0
6,3,0,9,285,6.0,0,8256.0
9,6,3,34,285,2.0,0,5362.0
1,0,4,24,165,6.0,0,8221.0
21,3,4,68,175,9.0,0,4983.0
12,3,0,23,175,7.0,0,7281.0
16,6,5,28,170,9.0,0,3873.0
12,2,0,57,165,5.0,0,5160.0
9,1,4,34,285,1.0,0,5283.0
6,1,5,33,170,5.0,0,6887.0
13,0,4,31,165,7.0,0,8121.0
13,4,5,78,165,6.0,0,3270.0
10,6,4,57,180,7.0,0,5160.0
5,4,4,58,160,27.0,0,3784.0
7,1,5,26,175,26.0,0,3925.0
8,4,3,84,175,16.0,0,3925.0
8,4,4,58,175,1.0,0,5554.0
1,5,2,2,165,2.0,0,10741.0
8,6,3,55,175,4.0,0,5554.0
18,3,3,10,170,9.0,0,6887.0
6,0,0,42,170,3.0,0,8041.0
8,6,1,39,175,3.0,0,5554.0
12,4,3,70,165,7.0,0,5160.0
0,2,0,50,165,1.0,0,7591.0
12,3,3,66,175,7.0,0,6126.0
11,1,5,12,155,7.0,0,4530.0
15,6,0,19,175,9.0,0,4273.0
22,6,1,67,165,9.0,0,5508.0
3,6,5,77,165,4.0,0,3548.0
12,5,1,38,165,7.0,0,7281.0
8,6,0,61,180,30.0,0,3925.0
14,4,1,82,170,9.0,0,3211.0
11,2,4,39,160,7.0,0,9276.0
8,1,0,87,175,47.0,0,3925.0
15,3,0,44,175,9.0,0,5469.0
0,5,1,38,170,7.0,0,8221.0
9,1,0,31,170,9.0,0,4644.0
10,0,3,64,180,7.0,0,6651.0
6,5,3,54,290,7.0,0,5106.0
13,1,1,16,165,1.0,0,3690.0
5,3,5,11,160,13.0,0,3583.0
6,1,0,38,275,3.0,0,4691.0
15,2,5,52,175,9.0,0,5469.0
15,4,5,71,175,9.0,0,3527.0
6,2,1,84,170,34.0,0,4644.0
11,3,1,64,160,7.0,0,5160.0
3,4,5,50,165,9.0,0,7381.0
14,4,4,23,170,9.0,0,3873.0
8,1,3,53,245,29.0,0,4696.0
10,1,0,66,180,7.0,0,3270.0
21,6,5,91,160,9.0,0,5508.0
5,6,3,13,160,54.0,0,3583.0
0,2,1,21,165,9.0,0,7591.0
7,6,5,56,170,7.0,0,4377.0
8,6,3,13,175,67.0,0,6887.0
2,4,0,27,165,9.0,0,7381.0
9,4,5,22,165,9.0,0,3925.0
17,2,3,72,485,9.0,0,4733.0
8,3,4,47,180,4.0,0,6361.0
7,6,0,5,165,5.0,0,6361.0
14,4,4,58,170,9.0,0,5469.0
8,5,3,26,175,13.0,0,4644.0
1,1,0,31,170,5.0,0,4756.0
22,0,5,2,160,8.0,0,8448.0
7,5,4,70,170,52.0,0,3579.0
6,1,0,3,175,43.0,0,8041.0
13,6,4,64,165,7.0,0,5160.0
19,5,0,18,175,9.0,0,4945.0
19,4,0,69,175,9.0,0,3579.0
21,6,4,92,175,9.0,0,4983.0
7,4,4,51,165,1.0,0,4644.0
7,6,1,74,170,38.0,0,3417.0
19,5,5,13,175,9.0,0,6887.0
7,3,3,66,175,14.0,0,3925.0
9,1,0,73,170,78.0,0,4377.0
12,1,4,83,165,1.0,0,3270.0
19,3,5,18,175,9.0,0,4377.0
7,6,4,29,165,10.0,0,3925.0
5,2,1,42,160,47.0,0,4594.0
6,3,5,4,260,2.0,0,11065.0
12,3,1,64,175,7.0,0,5160.0
8,3,5,25,180,6.0,0,4644.0
10,6,5,84,180,3.0,0,3270.0
8,1,3,46,180,5.0,0,5554.0
9,1,5,68,165,12.0,0,4644.0
5,1,1,30,160,45.0,0,4594.0
17,6,3,76,485,9.0,0,4417.0
9,3,3,17,165,5.0,0,3925.0
6,3,4,5,285,3.0,0,8373.0
12,5,4,77,175,7.0,0,5160.0
16,6,0,54,170,9.0,0,3873.0
6,2,4,53,170,6.0,0,8041.0
1,4,0,41,165,9.0,0,8221.0
21,5,0,25,160,9.0,0,4668.0
3,6,4,43,165,9.0,0,8221.0
7,5,4,35,170,3.0,0,4644.0
10,6,4,50,180,7.0,0,6126.0
1,1,3,81,170,6.0,0,3548.0
9,4,4,44,285,6.0,0,7970.0
8,5,0,25,180,3.0,0,4644.0
18,5,5,41,170,9.0,0,5575.0
7,2,5,31,170,8.0,0,4944.0
9,2,1,63,165,13.0,0,4644.0
9,5,4,56,165,9.0,0,4644.0
21,2,0,57,175,9.0,0,7398.0
11,2,5,66,155,7.0,0,5160.0
6,0,4,73,175,17.0,0,4944.0
16,5,4,21,170,9.0,0,3211.0
9,1,5,89,165,14.0,0,4644.0
22,2,4,4,160,2.0,0,8658.0
13,3,3,45,165,7.0,0,3900.0
12,6,3,20,165,7.0,0,4530.0
7,1,4,41,165,9.0,0,5554.0
19,3,5,39,400,9.0,0,6571.0
20,6,1,81,170,9.0,0,3265.0
13,0,1,83,165,2.0,0,3270.0
20,0,3,29,170,9.0,0,4945.0
21,0,1,83,160,9.0,0,5718.0
12,2,4,32,175,7.0,0,8121.0
0,5,3,19,170,7.0,0,10216.0
21,0,0,63,160,8.0,0,5718.0
21,3,3,52,160,1.0,0,7398.0
7,4,0,76,170,16.0,0,3264.0
6,5,4,42,170,6.0,0,8041.0
10,3,0,44,180,7.0,0,11444.0
8,3,0,51,245,6.0,0,4696.0
12,6,1,53,175,7.0,0,5160.0
18,0,4,80,170,9.0,0,3579.0
22,6,0,75,160,6.0,0,5508.0
9,1,0,52,280,3.0,0,4998.0
12,1,0,73,165,6.0,0,3270.0
20,2,5,52,170,9.0,0,5575.0
7,5,0,11,170,25.0,0,3579.0
8,4,5,43,180,2.0,0,5554.0
19,2,0,50,175,9.0,0,5575.0
2,6,0,61,165,9.0,0,4021.0
6,2,1,56,170,1.0,0,6887.0
12,2,1,21,165,7.0,0,6126.0
9,4,5,8,165,5.0,0,5554.0
6,3,3,80,175,11.0,0,4644.0
8,0,3,22,245,17.0,0,4696.0
12,2,5,73,175,7.0,0,6126.0
8,2,0,1,180,1.0,0,14846.0
6,4,1,19,260,1.0,0,4557.0
6,0,4,87,175,2.0,0,4644.0
15,4,5,57,175,9.0,0,4273.0
7,1,1,86,170,48.0,0,3579.0
6,1,5,54,170,8.0,0,8041.0
20,2,4,46,170,9.0,0,4945.0
12,5,5,41,175,7.0,0,7281.0
9,0,5,79,285,5.0,0,3788.0
16,1,3,25,170,9.0,0,4273.0
16,6,4,57,170,9.0,0,3873.0
10,0,3,8,180,5.0,0,10116.0
3,6,5,35,165,4.0,0,8221.0
8,2,5,66,180,31.0,0,3925.0
9,6,5,7,165,2.0,0,4944.0
8,0,1,13,180,3.0,0,4377.0
16,1,1,65,170,9.0,0,3211.0
6,6,5,0,170,34.0,0,8041.0
9,1,1,58,165,10.0,0,7280.0
18,0,5,9,170,9.0,0,7517.0
20,3,0,2,170,9.0,0,9039.0
6,2,0,78,175,36.0,0,4644.0
6,6,4,92,260,11.0,0,4208.0
8,3,1,85,245,5.0,0,4998.0
9,1,4,20,165,3.0,0,4644.0
9,4,4,23,165,12.0,0,5554.0
6,6,1,81,170,5.0,0,4644.0
6,2,0,64,170,77.0,0,4944.0
9,3,5,39,170,5.0,0,6991.0
6,2,4,53,275,60.0,0,8303.0
10,2,3,23,180,1.0,0,5160.0
12,4,0,55,165,7.0,0,5160.0
18,3,5,81,170,9.0,0,3265.0
22,3,1,8,165,7.0,0,7713.0
1,5,5,48,165,5.0,0,7381.0
1,0,3,1,165,6.0,0,28486.0
8,2,4,46,180,1.0,0,5554.0
6,5,4,84,285,56.0,0,4011.0
21,6,1,53,160,9.0,0,7398.0
9,2,3,30,170,6.0,0,6991.0
0,1,4,76,165,5.0,0,4021.0
8,4,4,23,175,4.0,0,3925.0
22,5,0,11,160,9.0,0,7293.0
12,6,0,54,175,7.0,0,5160.0
9,1,5,40,165,3.0,0,8041.0
0,0,5,44,170,9.0,0,8221.0
7,2,3,9,165,9.0,0,5554.0
6,1,5,75,285,14.0,0,4976.0
19,5,4,21,400,9.0,0,4667.0
8,0,5,72,245,22.0,0,5606.0
9,5,0,67,280,20.0,0,4011.0
1,0,1,55,165,9.0,0,5596.0
22,4,4,30,160,1.0,0,4668.0
2,1,1,2,165,9.0,0,8326.0
10,6,4,8,180,7.0,0,7281.0
9,0,3,1,170,23.0,0,21776.0
0,2,1,56,170,9.0,0,8011.0
14,6,4,22,170,9.0,0,3873.0
6,0,1,76,260,3.0,0,5073.0
7,3,4,26,175,4.0,0,4377.0
12,6,4,64,165,7.0,0,5160.0
4,0,4,45,165,61.0,0,5654.0
7,2,1,42,175,9.0,0,5554.0
7,0,4,45,175,9.0,0,6361.0
22,0,0,77,160,9.0,0,5508.0
4,0,5,72,165,4.0,0,6564.0
6,3,5,32,260,5.0,0,9407.0
3,6,1,25,165,9.0,0,4756.0
11,5,1,66,155,7.0,0,3270.0
3,6,0,61,165,3.0,0,3548.0
14,3,5,88,170,9.0,0,3211.0
6,1,3,25,170,2.0,0,4944.0
9,5,3,19,170,44.0,0,4644.0
17,3,1,57,485,9.0,0,4417.0
7,5,0,60,165,3.0,0,4377.0
9,4,1,68,165,11.0,0,3579.0
8,0,1,27,175,11.0,0,4944.0
0,6,0,61,165,1.0,0,4021.0
13,3,1,15,165,4.0,0,3900.0
17,1,3,25,485,9.0,0,4733.0
4,0,0,70,165,69.0,0,5654.0
12,4,4,79,175,7.0,0,3270.0
6,2,3,37,170,8.0,0,9928.0
7,6,3,48,175,8.0,0,6361.0
6,1,5,82,170,17.0,0,4644.0
7,6,3,76,175,58.0,0,3925.0
2,6,5,28,165,4.0,0,4756.0
17,0,1,34,485,9.0,0,8145.0
15,4,5,22,175,9.0,0,3873.0
7,2,3,16,175,36.0,0,3925.0
6,4,0,41,260,9.0,0,6830.0
1,5,1,52,165,3.0,0,4756.0
6,0,5,9,275,2.0,0,8464.0
10,1,3,4,180,7.0,0,8436.0
4,3,5,67,165,5.0,0,3583.0
21,0,4,52,175,9.0,0,7608.0
6,1,3,11,170,42.0,0,6887.0
6,1,3,67,170,43.0,0,4644.0
3,1,3,11,165,9.0,0,7171.0
7,2,0,50,165,7.0,0,4644.0
7,0,0,63,175,11.0,0,3925.0
9,1,0,66,170,51.0,0,3579.0
8,1,0,52,245,27.0,0,4696.0
9,4,5,64,165,20.0,0,4644.0
10,0,3,85,180,7.0,0,6651.0
1,2,1,70,165,7.0,0,4021.0
6,0,0,70,170,3.0,0,4644.0
6,2,1,14,175,58.0,0,6887.0
8,5,4,77,245,29.0,0,4696.0
10,5,0,46,180,7.0,0,7281.0
16,3,0,44,170,9.0,0,3873.0
13,2,4,60,165,7.0,0,5160.0
22,4,4,2,160,1.0,0,8448.0
8,2,0,43,170,10.0,0,8041.0
14,4,4,37,170,9.0,0,6205.0
12,4,5,78,175,7.0,0,3270.0
9,5,0,53,170,3.0,0,6887.0
6,6,0,68,260,5.0,0,4732.0
6,6,3,55,175,6.0,0,6887.0
0,4,0,34,165,4.0,0,8221.0
10,4,5,15,170,7.0,0,5160.0
6,3,3,31,275,7.0,0,5359.0
12,2,1,28,175,7.0,0,9276.0
0,4,4,37,170,9.0,0,8221.0
22,4,3,56,160,9.0,0,7398.0
8,5,3,75,175,43.0,0,3925.0
8,1,4,6,175,59.0,0,8041.0
19,3,4,12,400,9.0,0,7855.0
3,6,5,84,165,9.0,0,3548.0
0,2,3,79,170,2.0,0,4021.0
6,2,0,1,295,1.0,0,9911.0
7,6,0,40,170,6.0,0,4944.0
8,0,4,52,245,9.0,0,4696.0
19,4,5,29,175,9.0,0,4945.0
21,5,4,21,160,9.0,0,4668.0
12,6,5,77,165,7.0,0,3270.0
0,2,0,36,165,7.0,0,10426.0
0,3,1,57,165,9.0,0,5806.0
10,2,0,29,180,7.0,0,8121.0
9,3,4,47,280,6.0,0,4697.0
11,1,3,46,160,7.0,0,6126.0
0,2,1,84,170,7.0,0,4021.0
0,6,0,68,165,8.0,0,4021.0
17,1,1,23,485,9.0,0,4417.0
9,1,3,46,280,6.0,0,4011.0
22,3,4,68,165,9.0,0,4983.0
7,4,0,55,175,3.0,0,6361.0
2,4,5,43,165,9.0,0,12841.0
6,1,4,27,175,14.0,0,4644.0
7,6,2,3,175,3.0,0,8041.0
3,0,4,24,165,9.0,0,7381.0
5,5,1,87,160,60.0,0,3583.0
7,2,3,30,175,2.0,0,5554.0
12,4,3,77,175,7.0,0,3270.0
6,4,3,35,170,7.0,0,8041.0
20,4,3,63,170,9.0,0,3265.0
3,0,0,21,165,9.0,0,7381.0
8,0,0,28,175,13.0,0,5554.0
6,5,0,11,275,7.0,0,7253.0
7,4,1,82,170,19.0,0,3264.0
9,2,4,74,280,2.0,0,4376.0
6,6,4,29,170,19.0,0,5039.0
12,2,4,39,165,7.0,0,9276.0
7,4,0,48,165,1.0,0,4644.0
4,6,0,54,165,45.0,0,3583.0
6,3,1,29,170,3.0,0,8041.0
10,3,3,10,180,7.0,0,11444.0
10,6,4,78,180,7.0,0,3270.0
20,0,4,3,170,9.0,0,7517.0
2,3,1,71,165,7.0,0,4021.0
10,6,5,56,180,7.0,0,5160.0
12,2,0,15,175,6.0,0,5160.0
3,1,0,87,165,5.0,0,3548.0
9,5,3,75,285,6.0,0,3788.0
15,6,0,40,175,9.0,0,5469.0
3,3,4,40,165,2.0,0,8221.0
7,1,1,51,175,10.0,0,5554.0
19,3,3,38,175,9.0,0,8095.0
22,1,5,12,160,9.0,0,7293.0
8,4,5,29,245,11.0,0,6413.0
17,2,5,87,485,9.0,0,4417.0
6,3,3,66,170,16.0,0,4644.0
1,4,5,8,165,9.0,0,8011.0
2,2,5,17,165,9.0,0,8221.0
22,6,3,20,165,9.0,0,4668.0
22,0,3,71,165,9.0,0,5508.0
9,5,4,49,285,3.0,0,4557.0
6,4,4,65,170,8.0,0,4644.0
19,1,4,83,175,9.0,0,3265.0
20,6,0,82,170,9.0,0,3265.0
4,5,3,61,165,81.0,0,4220.0
5,2,3,51,160,39.0,0,4594.0
13,1,5,26,165,3.0,0,3900.0
9,3,3,31,280,2.0,0,4697.0
22,3,1,57,165,9.0,0,7398.0
18,3,5,46,170,9.0,0,4377.0
2,4,4,86,165,1.0,0,3548.0
8,2,1,77,175,44.0,0,3925.0
8,3,3,45,175,1.0,0,6887.0
21,1,5,40,160,5.0,0,7398.0
10,6,1,53,180,7.0,0,5160.0
17,0,5,58,485,9.0,0,4417.0
4,2,0,78,165,58.0,0,3583.0
14,6,4,71,170,9.0,0,3211.0
21,6,1,74,160,8.0,0,5508.0
6,1,3,4,275,2.0,0,8933.0
22,3,0,58,160,9.0,0,7398.0
4,2,4,11,165,4.0,0,3784.0
7,6,4,50,165,9.0,0,4944.0
7,0,1,6,175,3.0,0,9302.0
7,1,3,88,170,50.0,0,3579.0
6,2,5,73,275,22.0,0,5329.0
8,2,0,22,245,15.0,0,4696.0
11,1,3,67,160,7.0,0,3270.0
9,0,3,36,165,10.0,0,8671.0
7,1,4,13,175,66.0,0,3925.0
6,6,5,84,175,1.0,0,4644.0
10,3,3,52,180,7.0,0,7281.0
12,3,4,40,175,7.0,0,9276.0
17,0,5,30,485,9.0,0,4733.0
1,1,3,4,170,3.0,0,8011.0
8,1,3,11,175,38.0,0,6887.0
8,0,3,36,175,5.0,0,8671.0
20,6,5,28,170,9.0,0,3925.0
7,5,4,42,170,1.0,0,4644.0
8,4,1,12,245,37.0,0,5091.0
6,6,0,12,175,83.0,0,6887.0
18,4,1,68,170,9.0,0,3579.0
8,4,0,41,245,28.0,0,4696.0
12,4,4,37,175,7.0,0,8121.0
10,6,5,42,180,4.0,0,4530.0
21,2,0,8,160,9.0,0,7293.0
4,0,5,9,165,10.0,0,5180.0
6,6,5,28,285,7.0,0,4011.0
22,3,3,73,160,9.0,0,5508.0
5,3,4,54,160,33.0,0,4594.0
7,5,5,41,175,2.0,0,5554.0
9,6,1,39,285,14.0,0,9407.0
22,2,5,17,165,3.0,0,4878.0
7,2,4,11,165,11.0,0,4944.0
17,1,1,44,485,9.0,0,4417.0
6,2,1,77,170,31.0,0,4644.0
20,6,0,33,170,9.0,0,4945.0
8,5,4,84,175,49.0,0,3925.0
9,2,4,4,165,2.0,0,8671.0
9,0,1,55,165,9.0,0,4944.0
10,6,5,21,180,7.0,0,6126.0
7,4,5,36,170,1.0,0,6361.0
2,2,0,57,165,6.0,0,6646.0
12,6,1,81,165,1.0,0,3270.0
0,4,4,2,170,9.0,0,8326.0
22,5,5,20,165,9.0,0,4668.0
11,4,5,64,155,3.0,0,3270.0
4,2,5,66,165,4.0,0,3583.0
7,0,5,44,170,7.0,0,4944.0
6,2,4,60,170,1.0,0,6887.0
22,3,4,19,160,9.0,0,4668.0
3,3,5,46,165,9.0,0,8221.0
19,0,4,38,175,9.0,0,7149.0
20,1,4,6,170,9.0,0,5259.0
7,4,1,40,175,6.0,0,5554.0
0,2,1,7,165,8.0,0,13051.0
6,6,4,29,260,2.0,0,4573.0
18,0,5,65,170,9.0,0,3925.0
6,1,0,73,170,24.0,0,3925.0
12,2,1,7,165,7.0,0,7281.0
3,3,5,18,165,7.0,0,4756.0
22,2,0,71,160,9.0,0,5508.0
8,2,5,17,180,7.0,0,4644.0
18,4,4,86,170,9.0,0,3265.0
11,6,3,27,160,7.0,0,4530.0
6,5,4,21,175,23.0,0,4644.0
5,2,5,87,160,28.0,0,4220.0
7,3,3,52,170,2.0,0,4644.0
8,2,1,49,175,6.0,0,8041.0
7,2,5,17,170,2.0,0,3579.0
9,2,0,57,165,10.0,0,5554.0
6,4,4,44,260,9.0,0,6568.0
22,2,1,0,160,1.0,0,21310.0
0,0,3,57,165,7.0,0,5806.0
9,5,4,63,285,1.0,0,3629.0
6,1,1,65,170,39.0,0,4644.0
6,4,4,23,275,1.0,0,5125.0
8,0,4,59,175,8.0,0,5554.0
4,0,4,73,165,4.0,0,6564.0
7,4,1,54,170,5.0,0,4377.0
6,6,1,60,175,7.0,0,4644.0
7,5,3,33,170,5.0,0,4644.0
1,5,3,19,165,9.0,0,7381.0
