Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
BLR,BOM,2018-11-13T08:50:00Z,8:50,10:30,14279,13200,807,Air India,1,12h 25m,Economy,604,AI,AI_604_AI_888_,TRUE,13-11-2018
BLR,BOM,2018-11-13T08:50:00Z,8:50,10:30,14279,13200,807,Air India,1,13h 15m,Economy,604,AI,AI_604_AI_310_,TRUE,13-11-2018
BLR,BOM,2018-11-13T08:50:00Z,8:50,10:30,14279,13200,807,Air India,1,14h 25m,Economy,604,AI,AI_604_AI_101_,TRUE,13-11-2018
BLR,BBI,2018-11-13T05:50:00Z,5:50,10:20,14279,13200,807,Air India,9,17h 55m,Economy,776,AI,AI_776_AI_474_,FALSE,13-11-2018
BLR,DEL,2018-11-13T08:30:00Z,8:30,11:30,14286,12897,1118,IndiGo,4,3h 0m,Economy,2367,6E,6E_2367_,FALSE,13-11-2018
BLR,MAA,2018-11-13T19:40:00Z,19:40,21:00,14395,11400,2473,Jet Airways,7,5h 10m,Economy,869,9W,9W_869_9W_847_,FALSE,13-11-2018
BLR,MAA,2018-11-13T18:00:00Z,18:00,19:15,14395,11400,2473,Jet Airways,7,6h 50m,Economy,875,9W,9W_875_9W_847_,TRUE,13-11-2018
BLR,MAA,2018-11-13T22:00:00Z,22:00,23:20,14395,11400,2473,Jet Airways,5,10h 55m,Economy,779,9W,9W_779_9W_822_,TRUE,13-11-2018
BLR,MAA,2018-11-13T22:00:00Z,22:00,23:20,14395,11400,2473,Jet Airways,5,12h 50m,Economy,779,9W,9W_779_9W_736_,TRUE,13-11-2018
BLR,MAA,2018-11-13T19:40:00Z,19:40,21:00,14395,11400,2473,Jet Airways,7,13h 15m,Economy,869,9W,9W_869_9W_822_,TRUE,13-11-2018
BLR,MAA,2018-11-13T18:00:00Z,18:00,19:15,14395,11400,2473,Jet Airways,7,14h 55m,Economy,875,9W,9W_875_9W_822_,TRUE,13-11-2018
BLR,MAA,2018-11-13T19:40:00Z,19:40,21:00,14395,11400,2473,Jet Airways,7,15h 10m,Economy,869,9W,9W_869_9W_736_,TRUE,13-11-2018
BLR,MAA,2018-11-13T22:00:00Z,22:00,23:20,14395,11400,2473,Jet Airways,5,16h 25m,Economy,779,9W,9W_779_9W_740_,TRUE,13-11-2018
BLR,MAA,2018-11-13T18:00:00Z,18:00,19:15,14395,11400,2473,Jet Airways,7,16h 50m,Economy,875,9W,9W_875_9W_736_,TRUE,13-11-2018
BLR,MAA,2018-11-13T09:30:00Z,9:30,10:40,14815,11800,2493,Jet Airways,7,4h 55m,Economy,871,9W,9W_871_9W_740_,FALSE,13-11-2018
BLR,BDQ,2018-11-13T06:10:00Z,6:10,8:00,14815,11800,2493,Jet Airways,7,5h 50m,Economy,320,9W,9W_320_9W_986_,TRUE,13-11-2018
BLR,MAA,2018-11-13T07:00:00Z,7:00,7:55,14815,11800,2493,Jet Airways,7,7h 25m,Economy,849,9W,9W_849_9W_740_,TRUE,13-11-2018
BLR,MAA,2018-11-13T17:00:00Z,17:00,18:20,14815,11800,2493,Jet Airways,7,7h 50m,Economy,873,9W,9W_873_9W_847_,TRUE,13-11-2018
BLR,MAA,2018-11-13T09:30:00Z,9:30,10:40,14815,11800,2493,Jet Airways,7,11h 5m,Economy,871,9W,9W_871_9W_840_,TRUE,13-11-2018
BLR,MAA,2018-11-13T07:00:00Z,7:00,7:55,14815,11800,2493,Jet Airways,7,13h 35m,Economy,849,9W,9W_849_9W_840_,TRUE,13-11-2018
BLR,MAA,2018-11-13T09:30:00Z,9:30,10:40,14815,11800,2493,Jet Airways,7,15h 20m,Economy,871,9W,9W_871_9W_847_,TRUE,13-11-2018
BLR,MAA,2018-11-13T17:00:00Z,17:00,18:20,14815,11800,2493,Jet Airways,7,15h 55m,Economy,873,9W,9W_873_9W_822_,TRUE,13-11-2018
BLR,MAA,2018-11-13T07:00:00Z,7:00,7:55,14815,11800,2493,Jet Airways,7,17h 50m,Economy,849,9W,9W_849_9W_847_,TRUE,13-11-2018
BLR,MAA,2018-11-13T17:00:00Z,17:00,18:20,14815,11800,2493,Jet Airways,7,17h 50m,Economy,873,9W,9W_873_9W_736_,TRUE,13-11-2018
BLR,CCU,2018-11-13T11:05:00Z,11:05,13:30,14909,13800,837,Air India,9,8h 45m,Economy,772,AI,AI_772_AI_701_,TRUE,13-11-2018
BLR,CCU,2018-11-13T05:50:00Z,5:50,8:20,14909,13800,837,Air India,9,14h 0m,Economy,776,AI,AI_776_AI_701_,FALSE,13-11-2018
BLR,CCU,2018-11-13T11:05:00Z,11:05,13:30,15172,14050,850,Air India,9,11h 40m,Economy,772,AI,AI_772_AI_23_,TRUE,13-11-2018
BLR,CCU,2018-11-13T05:50:00Z,5:50,8:20,15172,14050,850,Air India,9,16h 55m,Economy,776,AI,AI_776_AI_23_,FALSE,13-11-2018
BLR,GAU,2018-11-13T10:00:00Z,10:00,13:00,15707,12050,3135,Jet Airways,7,11h 15m,Economy,659,9W,9W_659_9W_722_,TRUE,13-11-2018
BLR,BOM,2018-11-13T22:50:00Z,22:50,0:45,16600,13500,2578,Jet Airways,2,6h 15m,Economy,393,9W,9W_393_9W_339_,TRUE,13-11-2018
BLR,BOM,2018-11-13T21:25:00Z,21:25,23:10,16600,13500,2578,Jet Airways,1,7h 40m,Economy,449,9W,9W_449_9W_339_,TRUE,13-11-2018
BLR,BOM,2018-11-13T16:55:00Z,16:55,18:55,16600,13500,2578,Jet Airways,4,7h 50m,Economy,416,9W,9W_416_9W_310_,TRUE,13-11-2018
BLR,BOM,2018-11-13T07:00:00Z,7:00,8:40,16600,13500,2578,Jet Airways,1,8h 15m,Economy,478,9W,9W_478_9W_351_,TRUE,13-11-2018
BLR,BOM,2018-11-13T11:40:00Z,11:40,13:35,16600,13500,2578,Jet Airways,3,8h 30m,Economy,450,9W,9W_450_9W_311_,TRUE,13-11-2018
BLR,BOM,2018-11-13T20:35:00Z,20:35,22:30,16600,13500,2578,Jet Airways,1,8h 30m,Economy,442,9W,9W_442_9W_339_,TRUE,13-11-2018
BLR,BOM,2018-11-13T15:30:00Z,15:30,17:20,16600,13500,2578,Jet Airways,3,9h 15m,Economy,444,9W,9W_444_9W_310_,TRUE,13-11-2018
BLR,BOM,2018-11-13T22:50:00Z,22:50,0:45,16600,13500,2578,Jet Airways,5,9h 25m,Economy,393,9W,9W_393_9W_762_,TRUE,13-11-2018
BLR,BOM,2018-11-13T11:40:00Z,11:40,13:35,16600,13500,2578,Jet Airways,3,9h 40m,Economy,450,9W,9W_450_9W_309_,TRUE,13-11-2018
BLR,BOM,2018-11-13T18:40:00Z,18:40,20:30,16600,13500,2578,Jet Airways,1,10h 25m,Economy,448,9W,9W_448_9W_339_,TRUE,13-11-2018
BLR,BOM,2018-11-13T21:25:00Z,21:25,23:10,16600,13500,2578,Jet Airways,3,10h 50m,Economy,449,9W,9W_449_9W_762_,TRUE,13-11-2018
BLR,BOM,2018-11-13T07:00:00Z,7:00,8:40,16600,13500,2578,Jet Airways,1,11h 25m,Economy,478,9W,9W_478_9W_305_,TRUE,13-11-2018
BLR,BOM,2018-11-13T22:50:00Z,22:50,0:45,16600,13500,2578,Jet Airways,7,11h 35m,Economy,393,9W,9W_393_9W_333_,TRUE,13-11-2018
BLR,BOM,2018-11-13T22:50:00Z,22:50,0:45,16600,13500,2578,Jet Airways,7,11h 55m,Economy,393,9W,9W_393_9W_355_,TRUE,13-11-2018
BLR,BOM,2018-11-13T07:00:00Z,7:00,8:40,16600,13500,2578,Jet Airways,1,12h 10m,Economy,478,9W,9W_478_9W_353_,TRUE,13-11-2018
BLR,BOM,2018-11-13T16:55:00Z,16:55,18:55,16600,13500,2578,Jet Airways,7,12h 10m,Economy,416,9W,9W_416_9W_339_,TRUE,13-11-2018
BLR,BOM,2018-11-13T22:50:00Z,22:50,0:45,16600,13500,2578,Jet Airways,7,12h 35m,Economy,393,9W,9W_393_9W_839_,TRUE,13-11-2018
BLR,BOM,2018-11-13T07:00:00Z,7:00,8:40,16600,13500,2578,Jet Airways,1,13h 10m,Economy,478,9W,9W_478_9W_311_,TRUE,13-11-2018
BLR,BOM,2018-11-13T15:30:00Z,15:30,17:20,16600,13500,2578,Jet Airways,5,13h 35m,Economy,444,9W,9W_444_9W_339_,TRUE,13-11-2018
BLR,BOM,2018-11-13T22:50:00Z,22:50,0:45,16600,13500,2578,Jet Airways,7,13h 35m,Economy,393,9W,9W_393_9W_331_,TRUE,13-11-2018
BLR,MAA,2018-11-13T17:00:00Z,17:00,18:20,17545,14400,2623,Jet Airways,4,5h 15m,Economy,873,9W,9W_873_9W_831_,FALSE,13-11-2018
BLR,MAA,2018-11-13T08:25:00Z,8:25,9:25,17545,14400,2623,Jet Airways,4,13h 50m,Economy,783,9W,9W_783_9W_831_,TRUE,13-11-2018
BLR,GAU,2018-11-13T10:00:00Z,10:00,13:00,18070,14300,3248,Jet Airways,7,9h 40m,Economy,659,9W,9W_659_9W_606_,TRUE,13-11-2018
BLR,PNQ,2018-11-13T21:40:00Z,21:40,23:10,19120,15900,2698,Jet Airways,4,15h 45m,Economy,774,9W,9W_774_9W_366_,TRUE,13-11-2018
BLR,BOM,2018-11-13T18:40:00Z,18:40,20:30,20905,17600,2783,Jet Airways,5,6h 5m,Economy,448,9W,9W_448_9W_310_,TRUE,13-11-2018
BLR,DEL,2018-11-13T05:30:00Z,5:30,8:20,23702,21865,1566,IndiGo,2,2h 50m,Economy,2132,6E,6E_2132_,FALSE,13-11-2018
BLR,BOM,2018-11-13T08:55:00Z,8:55,10:55,26680,23100,3058,Jet Airways,1,6h 20m,Economy,412,9W,9W_412_9W_351_,TRUE,13-11-2018
BLR,DEL,2018-11-13T07:00:00Z,7:00,9:40,29343,27500,1521,Vistara,5,2h 40m,Economy,810,UK,UK_810_,FALSE,13-11-2018
BLR,PNQ,2018-11-13T05:30:00Z,5:30,7:10,35003,31027,3454,Jet Airways,5,4h 30m,Economy,922,9W,9W_922_9W_371_,TRUE,13-11-2018
BLR,CCU,2018-11-13T05:50:00Z,5:50,8:20,35384,33300,1812,Air India,9,6h 30m,Economy,776,AI,AI_776_AI_21_,TRUE,13-11-2018
BLR,DEL,2018-11-14T23:25:00Z,23:25,2:10,7130,6358,619,AirAsia,4,2h 45m,Economy,722,I5,I5_722_,FALSE,13-11-2018
BLR,DEL,2018-11-14T02:00:00Z,2:00,4:45,7281,5350,1534,Jet Airways,1,2h 45m,Economy,814,9W,9W_814_,FALSE,13-11-2018
BLR,DEL,2018-11-14T05:45:00Z,5:45,8:35,7517,6750,446,Spicejet,9,2h 50m,Economy,136,SG,SG_136_,FALSE,13-11-2018
BLR,DEL,2018-11-14T20:30:00Z,20:30,23:20,7806,7025,460,Spicejet,9,2h 50m,Economy,198,SG,SG_198_,FALSE,13-11-2018
BLR,DEL,2018-11-14T09:35:00Z,9:35,12:30,7806,7025,460,Spicejet,9,2h 55m,Economy,192,SG,SG_192_,FALSE,13-11-2018
BLR,DEL,2018-11-14T16:50:00Z,16:50,21:35,7888,6755,862,IndiGo,48,4h 45m,Economy,427_ 202,6E,6E_427_ 202_,FALSE,13-11-2018
BLR,DEL,2018-11-14T04:55:00Z,4:55,7:35,8009,7195,661,AirAsia,8,2h 40m,Economy,2878,I5,I5_2878_,FALSE,13-11-2018
BLR,DEL,2018-11-14T13:00:00Z,13:00,15:50,8041,6950,820,IndiGo,11,2h 50m,Economy,2246,6E,6E_2246_,FALSE,13-11-2018
BLR,DEL,2018-11-14T16:55:00Z,16:55,19:45,8041,6950,820,IndiGo,55,2h 50m,Economy,2988,6E,6E_2988_,FALSE,13-11-2018
BLR,DEL,2018-11-14T18:55:00Z,18:55,21:45,8041,6950,820,IndiGo,57,2h 50m,Economy,2808,6E,6E_2808_,FALSE,13-11-2018
BLR,DEL,2018-11-14T10:05:00Z,10:05,13:00,8041,6950,820,IndiGo,21,2h 55m,Economy,2943,6E,6E_2943_,FALSE,13-11-2018
BLR,DEL,2018-11-14T18:25:00Z,18:25,21:20,8041,6950,820,IndiGo,52,2h 55m,Economy,2783,6E,6E_2783_,FALSE,13-11-2018
BLR,DEL,2018-11-14T15:35:00Z,15:35,23:40,8303,6790,448,Spicejet,9,8h 5m,Economy,568_ 126,SG,SG_568_ 126_,FALSE,13-11-2018
BLR,DEL,2018-11-14T16:15:00Z,16:15,20:35,8304,6951,1082,IndiGo,6,4h 20m,Economy,466_ 595,6E,6E_466_ 595_,FALSE,13-11-2018
BLR,DEL,2018-11-14T06:10:00Z,6:10,8:55,8326,7600,454,Air India,9,2h 45m,Economy,804,AI,AI_804_,FALSE,13-11-2018
BLR,DEL,2018-11-14T17:00:00Z,17:00,19:45,8326,7600,454,Air India,9,2h 45m,Economy,503,AI,AI_503_,FALSE,13-11-2018
BLR,DEL,2018-11-14T13:20:00Z,13:20,16:10,8326,7600,454,Air India,9,2h 50m,Economy,501,AI,AI_501_,FALSE,13-11-2018
BLR,DEL,2018-11-14T19:55:00Z,19:55,22:30,8436,6450,1589,Jet Airways,1,2h 35m,Economy,812,9W,9W_812_,FALSE,13-11-2018
BLR,DEL,2018-11-14T07:10:00Z,7:10,9:55,8436,6450,1589,Jet Airways,3,2h 45m,Economy,836,9W,9W_836_,FALSE,13-11-2018
BLR,DEL,2018-11-14T15:15:00Z,15:15,18:05,8436,6450,1589,Jet Airways,7,2h 50m,Economy,808,9W,9W_808_,FALSE,13-11-2018
BLR,DEL,2018-11-14T11:10:00Z,11:10,14:05,8436,6450,1589,Jet Airways,7,2h 55m,Economy,820,9W,9W_820_,FALSE,13-11-2018
BLR,DEL,2018-11-14T17:45:00Z,17:45,20:45,8436,6450,1589,Jet Airways,1,3h 0m,Economy,816,9W,9W_816_,FALSE,13-11-2018
BLR,DEL,2018-11-14T18:55:00Z,18:55,21:55,8436,6450,1589,Jet Airways,7,3h 0m,Economy,833,9W,9W_833_,FALSE,13-11-2018
BLR,DEL,2018-11-14T07:00:00Z,7:00,9:40,8448,7600,526,Vistara,8,2h 40m,Economy,810,UK,UK_810_,FALSE,13-11-2018
BLR,DEL,2018-11-14T11:30:00Z,11:30,14:10,8448,7600,526,Vistara,9,2h 40m,Economy,816,UK,UK_816_,FALSE,13-11-2018
BLR,DEL,2018-11-14T09:50:00Z,9:50,12:35,8448,7600,526,Vistara,9,2h 45m,Economy,812,UK,UK_812_,FALSE,13-11-2018
BLR,DEL,2018-11-14T21:10:00Z,21:10,0:05,8448,7600,526,Vistara,9,2h 55m,Economy,814,UK,UK_814_,FALSE,13-11-2018
BLR,DEL,2018-11-14T00:40:00Z,0:40,3:25,8671,7550,850,IndiGo,3,2h 45m,Economy,2625,6E,6E_2625_,FALSE,13-11-2018
BLR,DEL,2018-11-14T01:30:00Z,1:30,4:15,8671,7550,850,IndiGo,2,2h 45m,Economy,2135,6E,6E_2135_,FALSE,13-11-2018
BLR,DEL,2018-11-14T04:00:00Z,4:00,6:50,8671,7550,850,IndiGo,2,2h 50m,Economy,2475,6E,6E_2475_,FALSE,13-11-2018
BLR,DEL,2018-11-14T22:20:00Z,22:20,1:10,8671,7550,850,IndiGo,2,2h 50m,Economy,2289,6E,6E_2289_,FALSE,13-11-2018
BLR,DEL,2018-11-14T23:30:00Z,23:30,2:20,8671,7550,850,IndiGo,3,2h 50m,Economy,2484,6E,6E_2484_,FALSE,13-11-2018
BLR,DEL,2018-11-14T07:10:00Z,7:10,10:05,8671,7550,850,IndiGo,3,2h 55m,Economy,2228,6E,6E_2228_,FALSE,13-11-2018
BLR,IDR,2018-11-14T12:40:00Z,12:40,14:30,8709,5985,2202,Jet Airways,7,18h 35m,Economy,803,9W,9W_803_9W_792_,TRUE,13-11-2018
BLR,DEL,2018-11-14T11:20:00Z,11:20,15:25,8723,7550,902,IndiGo,22,4h 5m,Economy,2065,6E,6E_2065_,FALSE,13-11-2018
BLR,DEL,2018-11-14T08:45:00Z,8:45,15:25,8775,7240,470,Spicejet,9,6h 40m,Economy,1063_ 124,SG,SG_1063_ 124_,FALSE,13-11-2018
BLR,DEL,2018-11-14T08:30:00Z,8:30,11:30,9302,8151,880,IndiGo,5,3h 0m,Economy,2367,6E,6E_2367_,FALSE,13-11-2018
BLR,DEL,2018-11-14T05:15:00Z,5:15,10:00,9438,8031,1136,IndiGo,1,4h 45m,Economy,602_ 846,6E,6E_602_ 846_,FALSE,13-11-2018
BLR,DEL,2018-11-14T08:20:00Z,8:20,11:15,9591,7550,1644,Jet Airways,7,2h 55m,Economy,824,9W,9W_824_,FALSE,13-11-2018
BLR,DEL,2018-11-14T10:00:00Z,10:00,12:45,9901,9100,529,Air India,7,2h 45m,Economy,505,AI,AI_505_,FALSE,13-11-2018
BLR,DEL,2018-11-14T21:10:00Z,21:10,23:55,9901,9100,529,Air India,9,2h 45m,Economy,173,AI,AI_173_,FALSE,13-11-2018
BLR,DEL,2018-11-14T06:00:00Z,6:00,8:45,9928,8747,910,IndiGo,3,2h 45m,Economy,2132,6E,6E_2132_,FALSE,13-11-2018
BLR,DEL,2018-11-14T21:20:00Z,21:20,0:15,9928,8747,910,IndiGo,1,2h 55m,Economy,2305,6E,6E_2305_,FALSE,13-11-2018
BLR,HYD,2018-11-14T08:15:00Z,8:15,9:15,10105,9000,597,Air India,9,4h 0m,Economy,516,AI,AI_516_AI_543_,FALSE,13-11-2018
BLR,IDR,2018-11-14T12:40:00Z,12:40,14:30,10405,7600,2283,Jet Airways,7,10h 15m,Economy,803,9W,9W_803_9W_794_,TRUE,13-11-2018
BLR,COK,2018-11-14T06:55:00Z,6:55,8:15,10452,9400,544,Air India,9,6h 25m,Economy,9505,AI,AI_9505_AI_511_,FALSE,13-11-2018
BLR,COK,2018-11-14T06:55:00Z,6:55,8:15,10452,9400,544,Air India,9,16h 25m,Economy,9505,AI,AI_9505_AI_47_,TRUE,13-11-2018
BLR,HYD,2018-11-14T08:15:00Z,8:15,9:15,10613,9000,597,Air India,9,10h 15m,Economy,516,AI,AI_516_AI_541_,TRUE,13-11-2018
BLR,HYD,2018-11-14T08:15:00Z,8:15,9:15,10613,9000,597,Air India,9,13h 10m,Economy,516,AI,AI_516_AI_840_,TRUE,13-11-2018
BLR,HYD,2018-11-14T08:15:00Z,8:15,9:15,10613,9000,597,Air India,9,14h 55m,Economy,516,AI,AI_516_AI_127_,TRUE,13-11-2018
BLR,DEL,2018-11-14T18:30:00Z,18:30,23:05,10644,9179,1194,IndiGo,2,4h 35m,Economy,847_ 447,6E,6E_847_ 447_,FALSE,13-11-2018
BLR,DEL,2018-11-14T18:30:00Z,18:30,23:05,10644,9179,1194,IndiGo,10,4h 35m,Economy,847_ 633,6E,6E_847_ 633_,FALSE,13-11-2018
BLR,DEL,2018-11-14T19:40:00Z,19:40,22:20,10968,10000,646,Vistara,1,2h 40m,Economy,818,UK,UK_818_,FALSE,13-11-2018
BLR,VGA,2018-11-14T10:30:00Z,10:30,11:45,11003,10150,581,Air India,3,10h 55m,Economy,9540,AI,AI_9540_AI_840_,TRUE,13-11-2018
BLR,VGA,2018-11-14T10:30:00Z,10:30,11:45,11003,10150,581,Air India,3,12h 25m,Economy,9540,AI,AI_9540_AI_468_,TRUE,13-11-2018
